c00991;;0;Перенос на холст 80х120_ИЗГОТОВЛЕНИЕ;Перенос на холст 80х120_ИЗГОТОВЛЕНИЕ;;H80120;1;False;Холст80х120ИЗГ;;0;False;Z;
c00992;;0;Интернет Puzzle 30*40 см;Интернет Puzzle 30*40 см;;Puzzl30;1;False;Puzzle 20*30;00001;0;False;;|Паззл Паззл A3|
c00993;;0;Интернет Футболка белая х/б 1-стор;Интернет Футболка белая х/б 1-стор;;SFI;1;False;SF;;0;False;;|Футболка mw1|
c00994;;0;Интернет Футболка белая х/б женская 1-стор;Интернет Футболка белая х/б женская 1-стор;;SFWI;1;False;SFW;;0;False;;|Футболка ww1|
c00995;;0;Интернет Футболка черная х/б 1-стор;Интернет Футболка черная х/б 1-стор;;SFBI;1;False;SFB;;0;False;;|Футболка mb1|
c00996;;0;Интернет Футболка черная х/б женская 1-стор;Интернет Футболка черная х/б женская 1-стор;;SFWI;1;False;;;0;False;;|Футболка wb1|
c00997;;0;Интернет Футболка белая х/б 2-стор;Интернет Футболка белая х/б 2-стор;;SFI2;1;False;;;0;False;;|Футболка mw2|
c00998;;0;Интернет Футболка белая х/б женская 2-стор;Интернет Футболка белая х/б женская 2-стор;;SFWI2;1;False;;;0;False;;|Футболка ww2|
c00999;;0;Интернет Футболка черная х/б 2-стор;Интернет Футболка черная х/б 2-стор;;SFBI2;1;False;;;0;False;;|Футболка mb2|
c00556;;0;Indigo Фотокнига в мягкой обложке 19х27 см, 40 стр., код 513;Indigo Фотокнига в мягкой обложке 19х27 см, 40 стр., код 513;;;1;False;Indigo Фотокнига;;0;False;;
c00557;;0;Indigo Фотокнига в мягкой обложке 19х19 см, 40 стр., код 512;Indigo Фотокнига в мягкой обложке 19х19 см, 40 стр., код 512;;;1;False;Indigo Фотокнига;;0;False;;
c00558;;0;Indigo Фотокнига в мягкой обложке 21х15 см, 40 стр., код 511;Indigo Фотокнига в мягкой обложке 21х15 см, 40 стр., код 511;;;1;False;Indigo Фотокнига;;0;False;;
c00559;;0;Indigo "Эконом" в мягкой обложке 21х15 см, 15 стр., код 432;Indigo "Эконом" в мягкой обложке 21х15 см, 15 стр., код 432;;;1;False;Indigo Эконом;;0;False;;
c00560;;0;Indigo Фотоброшюра 21х30 на скрепках, 20 стр., код 503;Indigo Фотоброшюра 21х30 на скрепках, 20 стр., код 503;;;1;False;Indigo Фотоброшюра;;0;False;;
c00726;;0;Аналогова 10х15 акция KODAK бесплатная печать 10 штук;;;10-15асtion;1;False;А10х15 акция;;0;False;Z;
c00729;;0;Печать на фототерминале 20х30;Печать на фототерминале 20х30;;TERM203;1;False;Печать на фототермин;;0;False;Z;|Моментальная печать 20x30|
c00727;;1;xМоментальная печать 15*20;Моментальная печать 15*20;;MOMENT1;2;False;Моментальная печать;;0;False;Z;
c00728;;1;zМоментальная печать 20*30;Моментальная печать 20*30;;MOMENT1;2;False;Моментальная печать;;0;False;Z;
c00730;;0;Открытка 20х30 (Терминал);Открытка 20х30 (Терминал);;OTKR20x30;2;False;Открытка 20х30 Терм;;0;False;Z;|Открытки 20x30|
c00731;;0;Открытка 10х15 (Терминал);Открытка 10х15 (Терминал);;OTKR10x15;2;False;Открытка 10х15 Терм;;0;False;Z;|Моментальная открытка 10x15|
c00733;;0;Сувенирная Календарь настенный А3 (29,7х42);Сувенирная Календарь настенный А3;;CAL А3;1;False;Сувенир Календарь А3;;0;False;Z;|Календари 30x45|
c00734;;0;Овал "ПАМЯТЬ" 13х18;Овал "ПАМЯТЬ" 13х18;;MEMO13;1;False;ПАМЯТЬ 13х18;;0;False;Z;
c00735;;0;Овал "ПАМЯТЬ" 21x30;Овал "ПАМЯТЬ" 21x30;;MEMO21;1;False;ПАМЯТЬ 21x30;;0;False;Z;
c00736;;0;Клей для овалов;клей для овалов;;GLUE;1;False;клей;;0;False;Z;
c00742;;0;Овал "ПАМЯТЬ" печать фото 13x18;Овал "ПАМЯТЬ" печать фото Металлик 20х30;;MEM20-30M;1;False;Mem20х30;;0;True;Z;
c00743;;0;Овал "ПАМЯТЬ" печать фото 21x30;Овал "ПАМЯТЬ" печать фото Металлик 30x40;;MEM30-40M;1;False;Mem30x40;;0;True;Z;
c00744;;0;Сувенирная Календарь карманный (16 штук);Сувенирная Календарь карманный (16 штук);;CALPOC;1;False;Календарь карманный;;0;False;Z;|Печать Календарей Календарик|
c00745;;0;Сувенирная Календарь настенный А4 (21х29,7);Сувенирная Календарь настенный А4;;CAL А4;1;False;Сувенир Календарь А4;;0;False;Z;|Календари 20x30|
c00746;;0;ШФП Календарь перекидной (13 листов);ШФП Календарь перекидной (13 листов) 300х420 мм;;C3x413;1;False;Cal30x42;;0;False;Z;
c00747;;0;ШФП Календарь-постер 30х42;ШФП Календарь-постер 300х425мм;;C3x4;1;False;Cal30x42al;;0;False;Z;|Печать Календарей Настенный Календарь A3|
c00748;;0;ШФП Календарь-постер 37х42;ШФП Календарь-постер 370х425 мм;;C37x4;1;False;Cal37x42al;;0;False;Z;
c00749;;0;ШФП Календарь-постер 44х50;ШФП Календарь-постер 440х505 мм;;C4x5;1;False;Cal44x50al;;0;False;Z;
c00750;;0;Сувенирная Календарь карманный  вертик (8 штук);Сувенирная Календарь карманный вертик (8 штук);;CALPOC8;1;False;Календарь карм в8 шт;;0;False;Z;|Каледарь карманный вертикальный|
c00751;;0;Цифровая 30х30;Цифровая 30х30;;30-30;1;False;Ц30х30;;0;True;ZH;
c00752;;0;Открытка 15х20 (Терминал);Открытка 15х20 (Терминал);;OTKR15x20;2;False;Открытка 15х20 Терм;;0;False;Z;|Моментальная открытка 15x20|
c00753;;0;Открытка 10х15;Открытка 10х15;;OTKR10x15;2;False;Открытка 10х15;;0;False;Z;|Открытки 10x15|
c00754;;0;Фотоигрушка (тигр);Фотоигрушка (тигр);;TOY3;1;False;Фотоигрушка тигр);;0;False;Z;
c00755;;0;Сувенирная Календарь перекидной А3 (29,7х42) на пружине;Сувенирная Календарь перекидной А3 (29,7х42) на пружине;;CAL А3 p;1;False;Календарь А3 перекид;;0;False;Z;
c00756;;0;Сувенирная Кружка ЛЕГКО белая;Сувенирная Кружка ЛЕГКО белая;;SKRLW;1;False;SKRLWite;;0;False;Z;
c00757;;0;Сувенирная Кружка ЛЕГКО цветная;Сувенирная Кружка ЛЕГКО цветная;;SKRLC;1;False;SKRLColor;;0;False;Z;
c00758;;0;Сувенирная Открытка 15х15 ЦОП;Сувенирная Открытка 15х15 ЦОП;;GCard1515;1;False;открытка;;0;False;Z;
c00759;;0;Сувенирная Кружка ЛЕГКО термо;Сувенирная Кружка ЛЕГКО термо;;SKRLT;1;False;SKRLTerm;;0;False;Z;
c00760;;0;Интернет Кружка ЛЕГКО белая;ИнтернетКружка ЛЕГКО белая;;InKRLW;1;False;InKRLWite;;0;False;Z;
c00761;;0;Интернет Кружка ЛЕГКО термо;Интернет Кружка ЛЕГКО термо;;InKRLT;1;False;InKRLTerm;;0;False;Z;
c00762;;0;Интернет Кружка ЛЕГКО цветная;Интернет Кружка ЛЕГКО цветная;;InKRLC;1;False;InKRLColor;;0;False;Z;
